review_count,useful_user,funny_user,cool_user,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos,stars,useful_review,funny_review,cool_review,text,friend_count,elite_count,yelp_since_YRMO,yelp_since_year
57,41,7,19,1,4.77,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,Anyone who loves books and loves Ann Patchett needs to make a stop here.  There was an author discussion happening when we stopped in which was simply a bonus.  The layout is really nice and easy to navigate.  The book selection was great including some local titles.  Please support independent book stores or they will be gone.,3,1,200704,2007
20,25,2,10,0,3.73,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,"This place has a ridiculous happy hour! The 75 cent oysters are such a treat, the atmosphere, the creamy crawfish bisque was so delicious I came back for another taste during my trip to NOLA.",122,1,201407,2014
48,40,6,10,0,3.53,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,this is my everyday Dunkin BUT the past 3 weeks ive been getting Burnt iced coffee!! if i wasnt on my way to work id go back and complain! one more time and ill try a different dunkin,92,1,201111,2011
285,429,196,237,5,4.36,3,4,3,1,0,9,8,8,8,4,2,5,0,0,0,"Great hotel! Polite staff, clean rooms, and great breakfast every morning. My only recommendation is that the gap between the door and the floor is a little wide and the light from the hallway shines through at night. I just used a towel to block it out.",100,6,201206,2012
26,100,9,7,0,2.46,0,0,0,0,0,0,2,0,0,0,0,1,5,1,0,"This company has the worst customer service I've ever experienced, and after reading the other one star reviews I am so grateful I didn't put my dogs safety in their hands. Be warned that even as a prospective customer they were rude, and unwilling to even engage in a conversation about a fixed monthly rate where they would walk my dog 3x/week. I asked what rate they would charge and told them I'm shopping around, and their response was:

-----------
hi Richard,

The walking orientations are in the client/ dogs home. However we pride ourselves on providing the best pet care, and if you are looking for the lowest price, we are not it.
Best of luck,
Z Dog Walkers
----------

Not only did I not ask for them to be the lowest price or question the quality of their care, they simply turned away a customer who was willing to pay for 3x/week dog walkings, without so much as telling me ""our rates are $x for a monthly rate of 3 walks per week"" or ""based on your needs we could offer a monthly rate of $y"". 

Shitty customer service by young people who think it's trendy and hip to start a dog walking company but then treat the dogs and their owners like crap is a quick way to go out of business in Philadelphia. 

There are a lot of options for dog walkers in Philly. Stay away from these guys.",2,1,201409,2014
33,60,35,10,0,2.92,0,0,0,0,0,3,1,0,0,1,0,2,0,1,0,"Just like the rating says ""Meh. I've experienced better.""

I came here for drinks - and drinks only. No complaints about the service because the waitress came back a few times to check on the drinks. She was actually decent and thought ahead (They switched from Glass cups to Plastic Cups ... and she brought a plastic cup I could put my ice in so I could keep the glass).

But, a bit disappointed with the pour of the drinks, which is enough to give it 2 out of 5 stars (After all, this is a popular hang out spot for people on Friday nights). I ordered a long island ... two of them actually ... and they both tasted good ... but didn't have that ""i'm filled with alcohol"" taste i'm used to and instead tasted like lemonade. Maybe they used top shelf ingredients that made it smooth, or maybe they just used a lot of mixer (but my guess is the latter). Either way, two of them didn't set me in my place. So, they were a bit weak. 

My first experience of Brew Brothers was the one at the Airport, and the long islands there were A LOT better then the ones I had at the El Dorado, but the airport isn't a friday night hangout.

Would I come back? Depends - haven't tried the food yet. But, if it were for a night of drinking, it wouldn't be my first stop of the night.",5,1,201005,2010
7,11,0,1,0,2.86,0,0,0,2,0,0,1,0,0,0,0,4,1,0,0,"Love this place! The wings are awesome...you gotta try the fried chicken at least once, it's crispy and yummy. 

The service is great, they are very attentive. We stopped going on the ""other"" Joe Bob's because the service was awful but this location is great. Check it out.",2,1,200905,2009
210,430,181,211,18,3.83,8,3,0,2,1,5,14,6,6,16,4,5,4,2,3,"Beautiful hike in Boise, located conveniently right outside of the downtown area with stunning views of the city.  There are multiple trails varying in levels of difficulty, from nearly flat, to slightly challenging hills (what we did today) to let's go straight up to the top, hard.  There is also a basin with a dog park and some picnic tables, and the trails are also off leash, so its a great spot to bring your pooch.  I only wish the signs indicating the trails forking off of the main path had approximate loop distances so you could plan your hike accordingly.",152,3,200908,2009
226,407,119,183,32,3.61,24,5,1,0,0,35,121,92,92,3,13,4,3,1,1,"Have made several trips to Mac's so far and I have not a bad thing to say. Good selection of craft beers on tap and in bottles and cans (and just clap ya hands). Draft list is constantly rotating so I haven't seen the same beer twice.

Gravy fries with mozzarella are legit as well as the roasted garlic hummus. The short rib jack-stack burger alone is worth the trip. The burger was cooked to a perfect medium rare topped with braised short ribs, pepper jack cheese and a mango habanero ketchup. Not for someone who can't handle the heat. I've had the crab cake sandwich as well and not a ton of filler in this one. 

Although I'm no expert in bird law and you can't get a milk steak here, I would recommend you give it a try.",193,6,201103,2011
15,25,2,7,1,3.93,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,"Great coffee and pastries, cool shop.  Will definitely be back.",17,1,201202,2012
55,41,7,18,2,4.73,0,0,0,0,0,1,0,2,2,0,1,5,0,0,0,"This is a small-size Whole Foods, bigger than South street but tiny compared to Cherry Hill or Marlton, NJ. The staff however is always super nice, best of the 3 others and they are good about special orders. I love farmers markets and small local markets with great produce, but this Whole Foods offers convenience and excellent quality fresh produce. Their new location is being built north and a block closer to Fairmount so even closer for us, yay!",5,1,201009,2010
31,29,13,10,1,3.88,2,0,0,0,1,0,0,1,1,1,0,3,2,0,1,"Be warned, this Lower Garden District dive bar is hard core, very, hard core...

This place personifies the amount of hard work it takes to be a proper hipster - it was fun watching the regulars work hard to display the look of  ""I'm so cool I have drink/hang out in the most inhospitable environment I can find"". 

I guess in the end, to each their own, but be warned this place is very hard core and will raise the eyebrows a few times-",7,1,200709,2007
31,48,5,25,2,4.16,0,3,0,0,0,0,1,1,1,1,0,5,0,0,0,From the minute I walked in the staff were warm and engaging.  I was visiting for a conference and came here at the recommendation of an Indy Hostel staff member.  I had the crawfish étouffée and the B&B (black beans and blackened corn).  OMG!  I died and went to heaven.  Super prompt service - no sooner had I made my order it was out.  The guy who brought it out was super friendly and asked how I'd heard about them and where I was from.  Desperately wanted to return before I left but couldn't swing it.  Amazing experience - food-wise and service-wise!  Go there now!,18,1,201104,2011
688,399,66,153,14,4.31,2,3,0,0,0,9,14,6,6,2,4,5,1,0,1,"This rustic retreat is nestled along the paved pathway of what was once a stagecoach route. And using structures from as far back as 1865, the Cold Spring Tavern serves up a wonderful assortment of culinary delights each capturing a little flavor of the past. 
Dine first and then browse the premises... you won't be disappointed!",110,1,201202,2012
505,1412,637,790,32,3.74,80,4,2,0,5,70,159,110,110,67,9,4,6,1,2,"This place sells canvases for cheaper than Michael's assuming you don't factor in the periodic 40% off one item coupon that floats around M's. For example, paid 7.97 for a 16 x 24. Great price! And in terms of variety, I found it staggering how many shapes and sizes inside. And that's the theme here, variety. From drafting tables to paints to name your art materials, the variety they pack into the space is worthy of applause. However, I found the acrylic paints are on par price-wise with the competition. There is a lot of variety though. 

What I also like here is that you can get some very neat toys for children. Chemistry sets, microscopes and art sets to name a few. If you are shopping for a kid, I suggest you give this a try and see if you can find something artsy or educational.",270,7,201011,2010
90,23,10,9,1,3.52,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,"Busy burger joint, juicy well prepared.  Service more than adequate, friendly and professional. Not a beer drinker myself but they looked to have a varied selection. Good place to go if you're craving a burger",3,1,201104,2011
21,12,14,0,0,3.18,0,0,0,0,0,0,1,1,1,0,0,5,0,1,0,Being going here since they opened in March. This has had a bumpy start but always had an overall good experience. The food is excellent and the service is way better now. Anyone who left a bad review should give them another shot.,10,1,201211,2012
66,53,15,50,8,4.75,0,0,2,0,0,6,1,4,4,2,2,5,0,0,0,Went to the mall to go shopping and ended up at pizza mizza instead. It was my first time trying the pizza here. I was suprised how good it was and I have never even known. I will definitely be calling for some delicious pizza delivered.,710,1,201605,2016
108,96,28,29,2,3.56,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,"Very happy I found this place! I love Indian cuisine.  In this area, this is some of the best.   Chicken tikka masala, paneer masala, gobi 65.  All incredibly well done.  Best Indian since California!",69,1,201111,2011
1276,3786,1058,2168,125,3.62,143,16,0,1,0,54,101,110,110,47,130,5,1,0,0,"This hotel is a gem in the heart of Philadelphia.

It's a cozy, quaint, and charming property. The rooms are spacious, modern and gorgeous. 
The decor is chic and attractive: big wooden desk, hardwood floors, couches and throw pillows: Looks more like a friend's apartment than a hotel. 

Free breakfast is always a plus for those of us with limited time. It's not a hot breakfast (I've had so many mass-produced bad ones, so I'm not complaining) but greek yogurt, a huge croissant, an orange and some cranberry juice hits the spot! They leave it at your door though, instead of ringing your bell to wake you. So if you ask for it to be delivered at 7 a.m., check outside your door; by 7:01 it WILL be there. 

Coffee, a variety of teas, cold and hot water, as well as ice and a bowl of assorted fruit are available 24/7 in the lobby. There are doorbells for each room, and the hotel can only be accessed after hours if you have a key card. Floors are acessible with a keycard as well, for extra protection. The staff is very polite: one of the few places in Philly where someone will actually say ""good morning"" to you (No, seriously. I lived there for 5 years, so trust me on that). They're also extremely helpful. When I checked in the night before, the gentleman at the reservation desk called to make sure I had a cab waiting for me at 8:15 the next morning so that I could make my speaking engagement on time. While I was getting my clothes ready, my iron was making more wrinkles than it was taking out, so I asked them for a new one and within 30 seconds, I had a brand new model with all the bells and whistles.

I've read a few reviews talking about the noise level of this place. My room was closest to the reception desk and I never heard a peep. There were people out and about, but I didn't hear a thing. And I'm a very light sleeper...

A few things to note:
Its location on a tight, one way street can cause a little difficulty if you're traveling solo, but if you have one person to unload the car while someone else parks, you should be fine. The parking garage they use is about half a block from the hotel, but you have to drive in a big rectangle to get there. 

There's a stand-up shower instead of the traditional bathtub/shower combo. It fits one comfortably enough... provided that you're not too far from average height and build. (My boyfriend is 6'2 with a football player build and he made out okay.)

Don't expect much of a view. The view from our room was of the side of another building. But that's what the city is for... go out there and see something!

Overall, this was an excellent trip and a great find. I highly recommend this hotel to anyone.",284,6,201208,2012
12,19,2,2,0,3.33,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,"Foolish is right. Charged my wife 120 bucks for a simple tattoo traced from a piece of flash.  The tattoo took 15 minutes. That's 480.00/hr, and they didn't give her the price until after it was done. These guys aren't tattoo artists, they're rip off artists.",35,1,201308,2013
254,532,139,326,37,4.02,13,2,0,2,0,29,15,16,16,7,5,3,0,0,0,"The place has a wow factor once you walk in. The dimmed lighting and wall to wall fish tanks are captivating.

We ordered appetizers and a main course. We skipped lunch and were starving so would have been happy with anything served. 

My first dish was a ceviche and it was not good. It was missing that right amount of sour flavor and tasted like defrosted fish. It did not have the right amount of spices that a good ceviche should have.

My entree was the gluten free mahi mahi dish with risotto. It was good, but nothing to write home about. It was a good hearty meal with decent presentation without any wow factors to it in flavor.

Finally - we ended the meal on a high note. They make this gluten free lava cake out of corn starch that was great. It was nice and soft inside and paired with salted caramel ice cream. I would recommend it even to those who do not follow a gluten free diet. 

Overall - great decor, ok food and a bit pricey for what it is.",560,9,201405,2014
83,69,16,22,3,3.38,0,0,0,0,0,1,1,4,4,1,1,5,1,0,0,"Had our second ever visit today and can't think about going anywhere else. Everyone is just as friendly as the first time from the front desk even to people just walking in the hall who aren't even seeing you. My almost 2 year old isn't too great at doing things she doesn't want too, weird right :) But Dr. Aldrich is so patient and she'll recite a book while she's doing the work to distract.. I really couldn't recommend this place more. Very kid friendly and with people who actually like/good with kids!",210,1,201002,2010
242,208,61,80,12,3.96,6,8,0,4,0,13,6,14,14,12,2,2,1,0,0,"I REALLY wanted to like porcini after reading all the awesome reviews, but I just think it lacks the taste and freshness of the food that I had at other BYOS, like melograno.  

We started with octopus and risotto appetizer, both which were very average.  The entrees were even more disappointing, and the desserts were truly unfortunate. The flan-like dessert was just unexciting.  It was a cute restaurant and the service was great, but the food was just not very good.",76,3,200703,2007
223,283,65,109,7,4.23,9,1,2,0,0,9,13,29,29,8,1,5,1,1,1,"Food and service beyond compare. Carmelo is an excellent waiter who takes his craft very seriously without being stuffy. Was able to order an espresso Roma without explaining what I desired.

The meatball app, while highly Americanized, was super. Tender, tasty, a great blend of several varieties of meat with parmesano.

The vitello saltimbocca, did jump into my mouth, however it was without prosciutto.

The house made limoncello should not be missed.

Well-made cocktails too. 

Every table was utilized at 730 Friday night, glad we had the reservation, by 10 we were on of the last tables there. 

It was a little louder than I expected but more lively than annoying. 

 !grazie mille Camelo!",92,6,201312,2013
366,588,203,279,35,4.05,9,3,2,1,0,9,14,41,41,18,15,3,0,0,0,Food is what you'd expect at any In-N-Out. What I really hate about this particular location is that the drive thru takes absolutely forever. It could be due to the fact that this is the only one (that I know of) in the Santa Barbara area... but still.,136,7,201303,2013
1,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,"I've been coming to the Newtown Saladworks for 4 years.  I like seeing many of the same friendly faces and the best part is that they know my salad order as soon as I get to the counter without even saying it!  

My coworkers and I often go out to lunch and the one place we haven't been disappointed by is Saladworks!",95,1,201404,2014
678,1810,653,925,85,3.8,61,18,4,1,4,43,63,116,116,92,5,4,3,0,2,"Yes, it's a tapas bar.  Yes, it's located in the heart of the Hill.  Yes, I see the irony of a Spanish restaurant being located smack dab in the middle of St. Louis' Little Italy.

Doesn't matter.  Modesto is one of the longest standing tapas restaurants in the St. Louis area and it's title is well deserved.  It is a fantastic little spot.

I was home a few weeks ago to celebrate my birthday, so as a special treat, my mom and I had a ""girls day"" together, which included having dinner at Modesto.  We made a reservation for Saturday night and arrived a bit early (around 6), when it was still very uncrowded.  The inside of the restaurant is very cool.  It's filled with dark wood, large floor to ceiling windows, a nice bar, and a good view of the kitchen so you can actually glance over if you choose to see the tapas being prepared.

The menu was very extensive and since we were being decadent (and eyes were bigger than stomachs), we ended up getting six tapas to split between the two of us.  I should also note that since gluten free appears to be the trendiest food intolerance to have lately, the menu conveniently highlights those items and/ or your server can explain ways to make others gluten free.

So here's what we got: bacon wrapped figs stuffed with chevre cheese, goat cheese flan (so unusual), steamed mussels, lamb skewers, the braised beef short rib (a special that night) and the crispy pork belly.  Plus, they brought out a complimentary board of fresh baked bread with olive tapenade and whipped butter.  Yum!

Everything was very good.  The crispy pork belly was a little chewy, but other than that it was fantastic.  The figs were juicy and the bacon crispy (a very good combo of salty and sweet), the goat cheese flan actually had the light, airy consistency expected of flan as well as great flavor, the steamed mussels were bathed in the best broth I've ever tasted (I sopped up extra broth with the bread), the braised beef was well seasoned and very tender and the lamb skewers were perfectly cooked.

We managed to eat everything, but it was a bit of a struggle at the end and we had no room for the famed desserts like the black and white bread pudding or flan.  Ah, well, maybe next time.  

Service was excellent throughout and I would definitely go back in the future to try some more of their dishes and save room for dessert that time too!  Bravo Modesto, bravo!",441,6,201102,2011
478,155,45,39,12,4.16,0,1,4,0,0,4,5,0,0,2,0,5,0,0,0,Awesome place to visit Grants home is full of history with the old out buildings the tour guide was very helpful and knew everything you could ever ask its for sure worth the time even more if you take the time to go to Grants farm across the street,3,1,201202,2012
8,7,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,"Awesome pizza. Awesome staff, they took their time to explain what they have in the menu. Very fast and calls your name before you actually settle on the seat. Nice clean place and have enough space for groups. Would def visit again!",5,1,201509,2015
15,29,8,1,0,2.11,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,"Its a Shame that the staff is completely rude, because I actually enjoy the food.  I have gone 3 times in the past 2 months and the same snotty staff is still working there.  I thought that maybe I got them on a bad day.  Sorry... but not worth the awful service.",316,1,200908,2009
418,263,33,111,7,4.59,0,0,0,0,0,11,7,4,4,4,2,4,1,0,0,"A good, solid diner. Cheap, good food, friendly service. Not fancy, no frills, but family owned and they work hard to keep the prices low, the portions big, and the customers smiling. Charming, and a tradition in the neighborhood. Good stuff!",68,7,201201,2012
72,94,9,27,4,3.95,4,0,0,0,0,4,11,11,11,3,0,4,0,0,0,"Went on a friday night with sis and father.  Both are much more into this type of meals then I am, but was willing to give it a try.  WOW, great service, great food and a great price.  The place was clean and pretty busy when we got there around 6pm.  The food came out hot (temp and flavor) and huge portions.  My sis couldn't eat all hers and took it home for a followup meal.  Great litle resturant in fountain square area.",29,1,201001,2010
261,343,55,150,9,4.4,3,2,1,0,0,5,11,6,6,5,1,4,1,0,0,"For the price ($125 including tax) I'd give it four stars.  The room itself was very spacious, with a separate seating area and a small kitchenette area with sink, microwave, and refrigerator.  We were traveling with another couple, and liked that we each had an area in our room where we could comfortably entertain our group for a drink in the evening.

The bathroom (just a toilet and shower -- the sink is out in the dressing area between the bathroom and closet) was (very) small, but having a shower versus a tub was nice, although I'd recommend they reverse all the bathroom doors to open outward into the dressing area instead of inward.  It's very awkward to have to slip into the small space in between the toilet and shower in order to open and close the door.  And as mentioned in another review, it seemed curious to me why they'd dedicate so much extra space to the room itself, and leave so little for the bathroom -- It's not like use of that room is optional!

We'd stayed at a competitor's similar-tier hotel the night before and loved the free breakfast there, so in contrast we found this one disappointing.  The breakfast sandwiches were pre-assembled (English muffin with egg, meat, and cheese), so if you didn't like something on them you were out of luck.  There weren't any other hot items provided, and not much else to choose from.  The breakfast area was also messy and picked over.

The front desk staff was great -- friendly and efficient.  We asked for a dinner recommendation because we'd seen two barbecue places nearby, and we weren't sure whether to go to one of them or another one we'd been to before a few miles away.  She sent us to Judge Bean's BAR-B-QUE, and we had a wonderful dinner as a result.

Would we go back?  For the price, room size, and location, yes.  But we'd go in with our expectations appropriately set about the bathroom and breakfast.",475,8,200907,2009
1008,918,228,313,39,3.49,18,7,4,2,6,30,138,33,33,14,7,4,0,0,0,"Ha ha, I see this site is now called out on Google Maps.  I guess most normal people have no problem getting off the freeway and getting into the lot, but sometimes I = fail.  

Once there, though, the product is consistent and reliable.  Bathrooms aren't gross either.",37,1,200703,2007
64,129,25,73,1,4.06,10,0,0,0,0,5,9,7,7,3,1,5,0,0,0,"I love supporting local business they have over 700 different flavour of k-cups, and tons you can buy individually. The staff is very friendly and helpful. This is where to go for coffee at home!",82,2,201505,2015
326,959,267,738,30,4.35,25,10,3,3,3,40,73,80,80,46,2,3,1,0,1,"Came to this ""Chnatown"" restaurant to try something new. The service was fine the food was OK not a deal by any stretch of the imagination.  

I was hear on business and it was close to the convention center.",210,5,200610,2006
163,390,79,147,20,4.03,33,6,2,3,1,21,33,25,25,20,2,2,3,0,1,"I really wanted to like this place...it's super clean, it's close to base, and it's a really great price (Less than $10 for a lunch buffet). There is a wide variety of food: chinese, japanese, make your own hibachi (hand it to the hibachi chef to fry up for you), and sushi. However, the MASSIVE headache I got roughly an hour after lunch made me want to smack myself in the forehead for not realizing it earlier....duh...MSG. So...if you aren't sensitive then you might want to check it out, however if you have an MSG sensitivity, then I suggest you avoid it like the plague.",189,2,201004,2010
20,34,3,23,3,4.73,0,0,1,0,0,0,0,2,2,2,0,3,1,0,0,"I go to the OV El Charro for the veggie enchiladas- so delish. So good that I started eating before I remembered to take a pic. The food is always good the 3 times I've gone but the service is so-so each time. Most recently, it was a Saturday night so they were busy, I get it. But simple requests were forgotten (water) and it took a solid 20 minutes to get a draft beer. I think we were seated for around ten minutes before a server even greeted us. My husband and I were seated at a super tiny table that could hardly fit our chips, plates, cups etc. The table and floor around us was dirty too. I wish I could focus solely on food but ambiance matters to me. Since I like the food, maybe I'll just make sure I go back on a weeknight when it's not so nuts.",84,1,201210,2012
187,96,61,58,3,3.85,3,2,0,0,0,2,5,18,18,0,1,5,0,1,0,"oh my god, where do i begin? carmine's is a great family joint with more ""upscale"" seating upstairs. the lower floor has sports on tv, and a main bar so you will be entertained while you wait for your table. the upstairs area has booths and smaller tables (great for a date) where you will begin your salivation as you flip through the menu. can't decide what you want? let me make it simple. BEER BATTERED PRAWNS! let me belabor this point. shrimp with a dipping remoulade and cocktail sauce will only wet your appetite for more food. at this point, you get one of the best cuts of steak they serve. this will not be a cheap night out, but it's sooooooooo worth it!",94,1,200711,2007
27,56,7,8,0,4.0,1,0,0,0,0,1,0,2,2,0,0,3,0,1,0,"pretty standard take-out Chinese, good for a quick lunch.  Reasonable prices ($5-$6 at lunch).  A fair amount of vegetarian stuff.",2,1,200910,2009
450,476,141,136,7,3.31,2,1,0,0,0,9,10,7,7,6,0,2,0,0,0,"I went on a Sunday around noon and there was a line to get a table. Apparently, that's how the crowd is all the time. I'd heard good things about Biscuits, but I would end up being disappointed.

I ordered a breakfast burrito ($8.00). The menu stated that it would be filled with chorizo, potatoes and eggs, but half of the tortilla was filled with onions and peppers, which I do not like. There were hardly any eggs in the burrito. The chorizo was bland - the worst chorizo that I've ever had.

The server was super nice, but the food was blah. I won't be going back.",81,1,201304,2013
12,15,0,2,1,4.4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,"Golden Nails has grown on me! Today was my second time here after my fill last time left me with ever so slightly uneven nails (I'm very particular, nail imperfections drive me crazy). I tried out a pedicure today and it was the best one I've gotten!! Nice leg massage, hot stones used for a foot massage, and attention to detail. Also my fill with a different nail tech left me with very straight nails this time :) lots of gel color and regular polish selection. Convenient location. Clean. Overall, recommended.",123,1,201511,2015
